From	To
Q9ULU4	Q9ULU4
Q14258	Q14258
P46100	P46100
Q9H1E3	Q9H1E3
Q13586	Q13586
Q6PCE3	Q6PCE3
Q96PD2	Q96PD2
Q9UHB7	Q9UHB7
Q96JG9	Q96JG9
P22059	P22059
Q9Y2K6	Q9Y2K6
Q66K74	Q66K74
Q96JM3	Q96JM3
Q8TB61	Q8TB61
Q8IWZ8	Q8IWZ8
Q13153	Q13153
P32418	P32418
Q6P4R8	Q6P4R8
Q8NEF9	Q8NEF9
P68363	P68363
P51812	P51812
Q5TGY3	Q5TGY3
Q9UPU9	Q9UPU9
P21127	P21127
Q9UQ88	Q9UQ88
Q12888	Q12888
Q9Y478	Q9Y478
P27816	P27816
O75970	O75970
P53621	P53621
Q0JRZ9	Q0JRZ9
Q9UPP1	Q9UPP1
Q96PY5	Q96PY5
Q04727	Q04727
Q04726	Q04726
Q96T23	Q96T23
P04049	P04049
O00571	O00571
Q9Y678	Q9Y678
Q9NUE0	Q9NUE0
Q9Y2K1	Q9Y2K1
Q9Y485	Q9Y485
Q8IVL0	Q8IVL0
P49792	P49792
P24534	P24534
Q15649	Q15649
Q8IX12	Q8IX12
Q9HCK8	Q9HCK8
O94874	O94874
P37275	P37275
Q8TAD8	Q8TAD8
P08238	P08238
Q7Z6E9	Q7Z6E9
O14647	O14647
Q9UGP8	Q9UGP8
Q3L8U1	Q3L8U1
P49407	P49407
Q5THJ4	Q5THJ4
O00566	O00566
Q8WUB8	Q8WUB8
P51397	P51397
Q8N3L3	Q8N3L3
Q9ULX3	Q9ULX3
P23327	P23327
Q13426	Q13426
Q9H1E5	Q9H1E5
P0DP91	P0DP91
Q8NFD5	Q8NFD5
Q9H6T3	Q9H6T3
Q01831	Q01831
Q8NEN9	Q8NEN9
O15042	O15042
P78362	P78362
O95365	O95365
Q9NVU7	Q9NVU7
Q5F1R6	Q5F1R6
Q92794	Q92794
Q9UQL6	Q9UQL6
Q9UPQ9	Q9UPQ9
Q96JG6	Q96JG6
Q15154	Q15154
P48307	P48307
Q9P2D1	Q9P2D1
P23396	P23396
Q96ST8	Q96ST8
O60271	O60271
Q8NC51	Q8NC51
P07196	P07196
P17535	P17535
Q68E01	Q68E01
Q6VMQ6	Q6VMQ6
P13591	P13591
P09619	P09619
Q9UKE5	Q9UKE5
P32004	P32004
Q15746	Q15746
Q92545	Q92545
Q96KC8	Q96KC8
O43237	O43237
O15372	O15372
Q13131	Q13131
P52655	P52655
Q6NUK4	Q6NUK4
Q8NEB9	Q8NEB9
Q9UER7	Q9UER7
P30041	P30041
P25205	P25205
Q8WYP3	Q8WYP3
Q9Y282	Q9Y282
Q9BR39	Q9BR39
Q71RC2	Q71RC2
Q96QB1	Q96QB1
Q9NWH9	Q9NWH9
Q9ULT0	Q9ULT0
Q12789	Q12789
Q99569	Q99569
Q9Y3B9	Q9Y3B9
O43294	O43294
A0JNW5	A0JNW5
Q9NYI0	Q9NYI0
Q9BSF8	Q9BSF8
Q641Q2	Q641Q2
Q9UIG0	Q9UIG0
Q7KZ85	Q7KZ85
P25490	P25490
Q4LE39	Q4LE39
Q15121	Q15121
Q96EV2	Q96EV2
P31641	P31641
P00519	P00519
Q9HA82	Q9HA82
Q96GX9	Q96GX9
Q7L2J0	Q7L2J0
O43432	O43432
Q76I76	Q76I76
Q7L1V2	Q7L1V2
Q8N488	Q8N488
Q14568	Q14568
Q9BXF6	Q9BXF6
Q14498	Q14498
Q9H4M7	Q9H4M7
O15119	O15119
Q9NYL9	Q9NYL9
O43719	O43719
P29375	P29375
Q8WU79	Q8WU79
Q8WUA4	Q8WUA4
Q5T3I0	Q5T3I0
Q9Y3T9	Q9Y3T9
Q9NYF8	Q9NYF8
O60763	O60763
Q15527	Q15527
P42677	P42677
Q92974	Q92974
P49796	P49796
Q86SQ0	Q86SQ0
Q9Y4G8	Q9Y4G8
Q9UGU0	Q9UGU0
